ID_cliente,Nombre_completo,Fecha_nacimiento,Genero,DNI,Pasaporte,Ciudad,Provincia,Email,Telefono
91-4662771,Lucie Aird,11/16/1963,Female,831505609-3,44-209-9864,Irvine,California,laird0@miitbeian.gov.cn,949-613-9501
87-2325910,Pincus Hargreave,6/26/1959,Male,005608733-0,71-347-3238,Nashville,Tennessee,phargreave1@paginegialle.it,615-320-7646
40-3321019,Eziechiele Piscot,8/12/1947,Male,690367477-2,22-867-6210,Saint Paul,Minnesota,episcot2@about.me,651-245-7128
11-8318119,Shawna Heinz,9/29/1957,Female,280026832-8,08-832-8751,Oakland,California,sheinz3@seattletimes.com,510-229-3467
37-6591370,Kimmie Gotcliffe,1/13/1976,Female,987905639-6,04-006-6623,Pasadena,California,kgotcliffe4@ebay.com,626-320-9384
76-5139112,Shadow Mazzia,11/15/1954,Male,879774394-1,13-215-1476,Hartford,Connecticut,smazzia5@gmpg.org,860-735-4319
49-7764562,Tabby Usmar,9/26/1990,Male,281350656-7,49-726-7186,Wichita,Kansas,tusmar6@hostgator.com,316-987-5853
70-2266103,Janaya Saket,10/12/1968,Female,699557313-7,55-963-4414,New York City,New York,jsaket7@issuu.com,212-445-2544
54-9357549,Homere Bakewell,9/5/1995,Male,305614308-X,75-678-0608,Saint Paul,Minnesota,hbakewell8@booking.com,651-361-1598
79-0375458,Hayyim Raunds,2/7/1996,Male,910067584-9,98-061-8659,Clearwater,Florida,hraunds9@webs.com,727-510-4696
72-7840718,Anastasia Simionato,10/12/1981,Female,764831900-4,35-350-3800,Appleton,Wisconsin,asimionatoa@pcworld.com,920-121-5830
65-4921629,Carce Coda,3/8/1953,Male,061366828-6,98-792-3079,Las Vegas,Nevada,ccodab@reference.com,702-971-2423
34-4300419,Betti Cuesta,7/5/1978,Female,133245165-9,94-489-5127,Winter Haven,Florida,bcuestac@xrea.com,407-675-5047
63-4472403,Sofie Cawthera,12/31/1966,Female,449807892-6,59-048-1138,Greensboro,North Carolina,scawtherad@google.it,336-394-7158
82-9982723,Tomkin Etock,7/5/1959,Male,029457026-8,27-512-3180,Spring,Texas,tetocke@harvard.edu,832-522-5608
