ID_proveedor,Nombre,CUIT,Razon_social,Tipo_proveedor,Direccion,Telefono,Email,Banco,Cuenta_corriente
1,Afton Guinane,45-5584927,Altenwerth Group,Avenue,7567 Columbus Avenue,481-402-5382,aguinane0@51.la,Afton,SK11 8708 8669 6212 8420 2345
2,Leona Martineau,42-8558447,"Kertzmann, Prohaska and Kulas",Plaza,949 Moland Court,494-906-5159,lmartineau1@storify.com,Leona,ES40 7973 5127 8713 5184 0492
3,Selestina Carde,55-3449829,Donnelly LLC,Center,3230 Old Gate Crossing,241-758-1325,scarde2@bandcamp.com,Selestina,DE62 9907 6295 9598 3080 25
4,Pepe Strike,33-4273782,Will LLC,Junction,3944 Northland Drive,300-825-5615,pstrike3@wikia.com,Pepe,BR08 4929 0051 1080 4333 1904 748S U
5,Jenna Klimowski,90-5391503,Mohr Group,Alley,61 Roth Parkway,394-174-0917,jklimowski4@blogs.com,Jenna,LV13 RLVQ CIBR 3JW4 RCMF P
6,Slade Wilkinson,72-5515471,Ledner Inc,Court,353 Carpenter Center,210-876-7829,swilkinson5@cnbc.com,Slade,CY57 4036 4461 G7DQ YUZ2 5HED KSTH
7,Alain Boseley,47-3330269,Ullrich-Murray,Parkway,47 John Wall Trail,753-651-5798,aboseley6@auda.org.au,Alain,PL38 9446 0008 8026 2526 4515 5176
8,Percy Coppins,67-0011143,Erdman-Bechtelar,Park,80737 Dottie Center,838-986-1818,pcoppins7@51.la,Percy,FR26 8066 0050 83I3 VQOB EZAJ L86
9,Karel Kapelhof,98-2769960,Zulauf-Spencer,Alley,8 Summer Ridge Avenue,128-679-7441,kkapelhof8@naver.com,Karel,SI80 5766 9833 6148 358
10,Orlando Verbrugghen,99-6196919,Hagenes and Sons,Way,690 Riverside Alley,490-466-9219,overbrugghen9@sphinn.com,Orlando,AD79 6429 5736 XHOK BZEG FPB5
11,Gualterio Gladman,20-6875275,Metz Inc,Terrace,78 Gateway Street,528-723-3128,ggladmana@nymag.com,Gualterio,VG42 UQRH 5678 4555 6841 7816
12,Arluene Clohessy,83-7353194,"Wisoky, Feest and Ullrich",Street,37 Shoshone Road,390-773-5115,aclohessyb@techcrunch.com,Arluene,NO47 3433 5875 379
13,Cyb Bailes,26-9991720,Ortiz Group,Place,97 Anhalt Pass,126-876-0718,cbailesc@webs.com,Cyb,FR95 8399 9959 275B 1EYF Q91C H90
14,Phoebe Fant,34-0537224,"Kertzmann, Murray and Ledner",Avenue,16565 David Point,720-623-9405,pfantd@nyu.edu,Phoebe,GR22 3643 131B YLV0 0DYS AQ49 9Y4
15,Karole Pietri,88-6700299,"McLaughlin, Schinner and Dibbert",Avenue,48 Mcguire Hill,891-391-4783,kpietrie@youtu.be,Karole,DE94 0472 9496 4114 5935 68
